iter	Passed	Remaining
415	3808	768
416	3817	759
417	3826	750
418	3836	741
419	3844	732
420	3853	723
421	3862	713
422	3870	704
423	3880	695
424	3889	686
425	3898	677
426	3907	668
427	3916	658
428	3925	649
429	3933	640
430	3943	631
431	3952	622
432	3960	612
433	3969	603
434	3978	594
435	3987	585
436	3996	576
437	4005	566
438	4015	557
439	4024	548
440	4033	539
441	4042	530
442	4051	521
443	4060	512
444	4069	502
445	4079	493
446	4088	484
447	4097	475
448	4105	466
449	4114	457
450	4123	447
451	4132	438
452	4141	429
453	4150	420
454	4159	411
455	4167	402
456	4176	392
457	4185	383
458	4195	374
459	4204	365
460	4213	356
461	4222	347
462	4232	338
463	4241	329
464	4249	319
465	4258	310
466	4267	301
467	4276	292
468	4285	283
469	4294	274
470	4303	264
471	4312	255
472	4321	246
473	4331	237
474	4340	228
475	4349	219
476	4358	210
477	4367	201
478	4376	191
479	4385	182
480	4394	173
481	4403	164
482	4412	155
483	4421	146
484	4433	137
485	4443	128
486	4452	118
487	4460	109
488	4470	100
489	4479	91
490	4488	82
491	4497	73
492	4507	63
493	4515	54
494	4525	45
495	4534	36
496	4543	27
497	4553	18
498	4561	9
499	4570	0
