iter	Logloss
386	0.6089377486
387	0.6087173743
388	0.608563768
389	0.6083140633
390	0.6081634775
391	0.6079173497
392	0.6077536487
393	0.6076124025
394	0.6073996587
395	0.6072262605
396	0.6070930423
397	0.6069621689
398	0.6068142061
399	0.6066582152
400	0.6065170882
401	0.6062766436
402	0.606053686
403	0.6058304501
404	0.6057414658
405	0.6056268075
406	0.6055044789
407	0.6053976897
408	0.6052635574
409	0.6051278354
410	0.604963737
411	0.6047859273
412	0.6046227429
413	0.6044839607
414	0.6044033621
415	0.6043041241
416	0.6041507165
417	0.60393686
418	0.603809325
419	0.6036738415
420	0.603511452
421	0.6033621777
422	0.6031064719
423	0.6029789369
424	0.6027536344
425	0.6026516939
426	0.6024393078
427	0.6022946437
428	0.6021436207
429	0.6020303534
430	0.6018628768
431	0.6017233793
432	0.6015783177
433	0.6014928307
434	0.6013729661
435	0.6012131997
436	0.6010469949
437	0.6009176317
438	0.6007686753
439	0.6006070012
440	0.6004533949
441	0.6002829774
442	0.6000976563
443	0.6000049361
444	0.5998878932
445	0.5998042742
446	0.5996798392
447	0.5994860925
448	0.5993023611
449	0.5991870272
450	0.599030162
451	0.598902627
452	0.5988047005
453	0.5986361112
454	0.5984957392
455	0.5982587921
456	0.5980536392
457	0.5979061931
458	0.5977566008
459	0.5975908729
460	0.5974964835
461	0.5973249929
462	0.5971954311
463	0.5970970674
464	0.5970020819
465	0.5968239542
466	0.5966121643
467	0.596458876
468	0.5963623405
469	0.596182782
470	0.5960420922
471	0.5959167431
472	0.5957097223
473	0.5955849694
474	0.5953583156
475	0.5952374177
476	0.5951386169
477	0.5949446715
478	0.5947384059
479	0.594600498
480	0.594480554
481	0.5943791301
482	0.5941338767
483	0.5940419513
484	0.5939723218
485	0.5938362023
486	0.5936512786
487	0.593544251
488	0.5933813051
489	0.5932279373
490	0.5930995677
491	0.5929234669
492	0.5928540361
493	0.5927643761
494	0.592637795
495	0.5924775914
496	0.5922969201
497	0.5921185143
498	0.5920037368
499	0.5918791428
