iter	Logloss
0	0.69260116
1	0.6921093814
2	0.6916544841
3	0.6911840077
4	0.6907311771
5	0.690278426
6	0.6899055582
7	0.6895504156
8	0.6890819263
9	0.688773442
10	0.6883875384
11	0.6879633227
12	0.6876153339
13	0.6871985104
14	0.686850601
15	0.6864838536
16	0.6861561336
17	0.6857843786
18	0.6854063441
19	0.6850508041
20	0.6846704646
21	0.6843158785
22	0.683907242
23	0.6835283332
24	0.6832047465
25	0.6829015082
26	0.6825286403
27	0.6822808831
28	0.6819874215
29	0.681621151
30	0.6813063872
31	0.6809202452
32	0.6805924458
33	0.6803678984
34	0.6800828624
35	0.6797728677
36	0.6795354437
37	0.6791734654
38	0.6789448642
39	0.6786358234
40	0.6782871192
41	0.6779865039
42	0.677695427
43	0.6774028397
44	0.6771027809
45	0.6768042322
46	0.6765024246
47	0.6762619801
48	0.6760044461
49	0.6757237023
50	0.6754271408
51	0.6752273135
52	0.6749529285
53	0.67470692
54	0.6743799949
55	0.6741368478
56	0.6738960854
57	0.6736633509
58	0.6734206808
59	0.6731769774
60	0.6729220664
61	0.6726282074
62	0.6724141522
63	0.6722095557
64	0.6719339785
65	0.6716675421
66	0.6714108029
67	0.6711114594
68	0.670907022
69	0.6706417779
70	0.670383608
71	0.6701224177
72	0.6698840398
73	0.6696816689
74	0.6694436884
75	0.6692359126
76	0.6689577123
77	0.6687149627
78	0.6685017818
79	0.668184236
80	0.6679676372
81	0.6675901591
82	0.6673351687
83	0.667065076
84	0.6668034087
85	0.666565627
86	0.6662616335
87	0.6660413387
88	0.6657857918
89	0.6655096184
90	0.665288171
91	0.6650325844
92	0.6648405865
93	0.6646383349
94	0.664417881
95	0.6641587176
96	0.6638891415
97	0.6636503661
98	0.6634147305
99	0.6632445514
100	0.6630854606
101	0.6628418366
102	0.6626259532
103	0.6624226683
104	0.6622233179
105	0.6620372019
106	0.6618102699
107	0.6615872328
108	0.6613767147
109	0.6611361509
110	0.6609267853
111	0.6607306939
112	0.6604995094
113	0.6603058423
114	0.6599981925
115	0.659679057
116	0.659371447
117	0.6592537285
118	0.6590537423
119	0.6588487881
120	0.6586034552
121	0.6584715088
122	0.6582577317
123	0.6580598916
124	0.6578671385
125	0.6576584883
126	0.6574664506
127	0.6571794274
128	0.6568996772
129	0.6567414607
130	0.6565491448
131	0.6563213782
132	0.6561401904
133	0.655921366
134	0.6557263476
135	0.6554374564
136	0.6552377484
137	0.6550267931
138	0.6548287145
139	0.6546785261
140	0.6544856538
141	0.6542503758
142	0.653997611
143	0.6538107399
144	0.6535602006
145	0.6533650233
146	0.6531948442
147	0.6529387409
148	0.6527455904
149	0.6525738614
150	0.6523700201
151	0.6521436842
152	0.651913096
153	0.6516540517
154	0.6515345846
155	0.6513046719
156	0.6510961807
157	0.6508574848
158	0.650667792
159	0.6504664147
160	0.650316425
161	0.6501256988
162	0.6499006348
163	0.6496032387
164	0.6492394322
165	0.6489619473
166	0.6487284975
167	0.6484728314
168	0.6483525297
169	0.6481715405
170	0.6479392433
171	0.6477255457
172	0.6475318786
173	0.6473769608
174	0.6472027279
175	0.6470261104
176	0.6467680996
177	0.6465014644
178	0.6463205548
179	0.6461565358
180	0.6459938284
181	0.6458499989
182	0.6456553779
183	0.6454707721
184	0.6453347719
185	0.6451338716
186	0.6448742312
187	0.6447132327
188	0.6444589974
189	0.6442220105
190	0.6440702721
191	0.643944923
192	0.6436588934
193	0.6434798516
194	0.6433382477
195	0.6431206553
196	0.6429827872
197	0.6428589483
198	0.6427009703
199	0.6425612343
200	0.6424327057
201	0.642277152
202	0.6421159946
203	0.6419102853
204	0.6417501215
205	0.6415744181
206	0.6413598859
207	0.6410839112
208	0.6408624241
209	0.6406329883
210	0.6404746129
211	0.6402378247
212	0.6399397132
213	0.6397945721
214	0.6396611552
215	0.6394633946
216	0.6392989385
217	0.6390437096
218	0.6388791342
219	0.6387396764
220	0.6385803471
221	0.6384652517
222	0.6382692
223	0.6380482692
224	0.6378083413
225	0.6376534235
226	0.6375012479
227	0.6372691494
228	0.6370783835
229	0.6369270425
230	0.636650432
231	0.6364285871
232	0.6361847644
233	0.6359621247
234	0.6357130162
235	0.6354406581
236	0.6351590797
237	0.635050979
238	0.6348876754
239	0.6346248954
240	0.6344259424
241	0.6342463045
242	0.6339884526
243	0.6336599776
244	0.6334802602
245	0.6332861559
246	0.6330672917
247	0.6328631722
248	0.6326923175
249	0.6325172103
250	0.6324236157
251	0.6321976376
252	0.6320169267
253	0.6318140392
254	0.6316304667
255	0.6314949434
256	0.6313585458
257	0.6312086356
258	0.630900032
259	0.6306962701
260	0.6304831687
261	0.6303490762
262	0.6301818778
263	0.6300014451
264	0.6298208136
265	0.6296150646
266	0.6294609019
267	0.6292235573
268	0.629074124
269	0.6288527958
270	0.6286785232
271	0.6285005545
272	0.6283357804
273	0.6281922688
274	0.6279684766
275	0.6278052525
276	0.6276439361
277	0.627505591
278	0.6273010343
279	0.6271403538
280	0.6269795143
281	0.6268639817
282	0.6266533841
283	0.6265413886
284	0.6263590879
285	0.6261583068
286	0.6259759266
287	0.6258054296
288	0.6256023831
289	0.6253750537
290	0.6251518576
291	0.6249850964
292	0.6248365375
293	0.6246598803
294	0.6245042471
295	0.624360497
296	0.6241446533
297	0.6238920077
298	0.6237287837
299	0.6234385413
300	0.6232126029
301	0.6229688199
302	0.6227445508
303	0.6225175791
304	0.6223457308
305	0.6221165732
306	0.6219295829
307	0.621737108
308	0.6215348564
309	0.6213627697
310	0.6211192252
311	0.6209612869
312	0.6208340302
313	0.6207240616
314	0.6205697399
315	0.6204114439
316	0.6203029061
317	0.6200543142
318	0.6199210563
319	0.6196429355
320	0.6194340468
321	0.6192922044
322	0.6191145139
323	0.6189303056
324	0.6187758249
325	0.618585377
326	0.6184390039
327	0.618253484
328	0.6181348912
329	0.6179775093
330	0.6178438142
331	0.6176803517
332	0.6175060393
333	0.6173502472
334	0.6171193012
335	0.6169881496
336	0.6167492948
337	0.6165550713
338	0.61646561
339	0.6163172498
340	0.6161630473
341	0.6159656841
342	0.6157780579
343	0.6156622868
344	0.61550721
345	0.6153077006
346	0.6151087874
347	0.6149705616
348	0.6148107952
349	0.6146406956
350	0.6144847047
351	0.6143674234
352	0.6142136184
353	0.6140697094
354	0.6138972252
355	0.6137131758
356	0.6135838922
357	0.61344511
358	0.6133123687
359	0.6131471575
360	0.6129631081
361	0.6128410974
362	0.6126621351
363	0.6125335669
364	0.6123133515
365	0.6121945997
366	0.6120119811
367	0.6118030924
368	0.6116886328
369	0.611561853
370	0.6114569715
371	0.6112923961
372	0.6110938406
373	0.6108965569
374	0.6107960073
375	0.6106360024
376	0.6104849397
377	0.610312217
378	0.6101481186
379	0.6099591809
380	0.6098564852
381	0.6096477953
382	0.6095095695
383	0.6094363233
384	0.6093279842
385	0.6091288722
