iter	MultiClass
128	0.356483706
129	0.3563198267
130	0.356165907
131	0.3560171386
132	0.3558036079
133	0.3556989309
134	0.3555780975
135	0.3554092242
136	0.3552927218
137	0.3552002979
138	0.3550364702
139	0.3548942623
140	0.3546965209
141	0.3545034204
142	0.3542985623
143	0.3541929855
144	0.3539804923
145	0.3538499021
146	0.3536468518
147	0.3535221304
148	0.3534310025
149	0.3533364063
150	0.3532071568
151	0.3531110845
152	0.3528937671
153	0.3527221053
154	0.3526050584
155	0.3524961657
156	0.3522861391
157	0.3520855146
158	0.3520247977
159	0.3518695534
160	0.3517250249
161	0.3515486765
162	0.3513691084
163	0.3512647385
164	0.3510974611
165	0.3509079717
166	0.3508326807
167	0.3506618679
168	0.3504588125
169	0.3503960954
170	0.3502930129
171	0.3501540119
172	0.350059881
173	0.3498672907
174	0.3497961145
175	0.3497352703
176	0.3496265062
177	0.3495342329
178	0.3494332871
179	0.3493275477
180	0.3491849089
181	0.3490721987
182	0.348961007
183	0.348863034
184	0.3487701434
185	0.3487181761
186	0.3486414131
187	0.34851613
188	0.3484360526
189	0.3483072218
190	0.3481644549
191	0.3480177208
192	0.3479444333
193	0.3478376396
194	0.3477657578
195	0.3475317885
196	0.3474582157
197	0.3473085798
198	0.3472385921
199	0.3471101011
200	0.3470643219
201	0.3469057838
202	0.346790268
203	0.3467146034
204	0.3465624364
205	0.3464874071
206	0.3462861543
207	0.3461342673
208	0.3460573672
209	0.3459582982
210	0.345813114
211	0.3457507837
212	0.3455929129
213	0.3454648928
214	0.3453575726
215	0.3452325151
216	0.3450912578
217	0.3449579392
218	0.3448200727
219	0.3447121646
220	0.3446685467
221	0.3445892717
222	0.3444752325
223	0.3443974088
224	0.3443030503
225	0.3442086695
226	0.3441280741
227	0.3440320482
228	0.3439237729
229	0.3437934235
230	0.3436751635
231	0.3436199056
232	0.3435204415
233	0.3434530066
234	0.3433053211
235	0.3432309693
236	0.3430783965
237	0.3429589732
238	0.3428664706
239	0.3427368223
240	0.3426968057
241	0.3426268154
242	0.3425368926
243	0.342495875
244	0.3424335446
245	0.3423068895
246	0.3422072255
247	0.3421350288
248	0.3420690021
249	0.3419767063
250	0.3418201109
251	0.3417569914
252	0.3416083854
253	0.3414441507
254	0.3413418584
255	0.3413008035
256	0.3412674916
257	0.3411745617
258	0.3410831609
259	0.3409963764
260	0.3409158285
261	0.3408499515
262	0.3408074767
263	0.3407417772
264	0.3406474742
265	0.3405605536
266	0.3404564207
267	0.3403852769
268	0.340276797
269	0.3402121928
270	0.3401212323
271	0.3400264217
272	0.339982309
273	0.3399049937
274	0.33985959
275	0.3398192119
276	0.3397556003
277	0.3396944151
278	0.3396090337
279	0.3395121715
280	0.3394442903
281	0.3393173288
282	0.3392257577
283	0.3391892362
284	0.3390645598
285	0.338979591
286	0.3389423759
287	0.3388031144
288	0.3387186497
289	0.338670598
290	0.3385647138
291	0.3384009888
292	0.3383171373
293	0.3382802006
294	0.3382150926
295	0.3381127014
296	0.3380185782
297	0.3379073941
298	0.3377801911
299	0.3377196781
300	0.3376452406
301	0.3376106416
302	0.3375314069
303	0.3374648964
304	0.3374361325
305	0.3374022304
306	0.3373323183
307	0.3372986041
308	0.3372403344
309	0.3371034272
310	0.3370023684
311	0.336970042
312	0.3368116731
313	0.3367443004
314	0.3366761709
315	0.3366150038
316	0.3364886289
317	0.3364350666
318	0.3363262172
319	0.3362707056
320	0.3362035266
321	0.336170239
322	0.3360827052
323	0.3360074738
324	0.3359581576
325	0.3359138511
326	0.3358240473
327	0.3357507868
328	0.3356946207
329	0.3356033271
330	0.3354548067
331	0.3354028012
332	0.3353075822
333	0.3352561331
334	0.335226729
335	0.3350989598
336	0.334964229
337	0.3349184791
338	0.3348565004
339	0.3348080176
340	0.3347472823
341	0.3346320037
342	0.3345092063
343	0.3344314457
344	0.3343816519
345	0.3343181085
346	0.3342281868
347	0.3341872234
348	0.3341363329
349	0.3340805964
350	0.3340451223
351	0.33398816
352	0.3339093204
353	0.333878909
354	0.333780568
355	0.3337505982
356	0.3336478326
357	0.3335823706
358	0.3335274639
359	0.3334337939
360	0.3334020433
361	0.3332873076
362	0.3332350847
363	0.333192712
364	0.333151794
365	0.3331113295
366	0.3330440255
367	0.3329277345
368	0.3328817929
369	0.33279278
370	0.3327066464
371	0.3326661288
372	0.3325535959
373	0.3324873007
374	0.3324374645
375	0.3323683103
376	0.3322951509
377	0.3321958278
378	0.332141734
379	0.3320761847
380	0.3320261381
381	0.3319890222
382	0.331936433
383	0.3318521625
384	0.3317476478
385	0.3317190174
386	0.3316597233
387	0.3316335843
388	0.3315644957
389	0.3314373446
390	0.3313360183
391	0.3312299728
392	0.3311748965
393	0.3311378277
394	0.3311041964
395	0.3310494611
396	0.331024367
397	0.3309060468
398	0.3307851307
399	0.3307533768
400	0.3306587683
401	0.3306048172
402	0.3305482302
403	0.330519411
404	0.3304842347
405	0.3303703221
406	0.3303206946
407	0.3302477293
408	0.3301857519
409	0.3301475225
410	0.3300757809
411	0.3299929904
412	0.3299503762
413	0.3299071416
414	0.3298769122
415	0.3298173581
416	0.3297511414
417	0.3296673743
